U+35FD	㗽	3-5041	vlr
U+35FE	㗾	4-4F67	rtjp
U+35FF	㗿	4-4F6A	ranr
U+3600	㘀	4-4F6F	rhxd
U+3601	㘁	3-503C	rwlj
U+3602	㘂	3-503A	rtvp
U+3603	㘃	14-6879	rtkp
U+3604	㘄	14-687A	rdws
U+3605	㘅	7-3737	rhon
U+3606	㘆	4-5572	rgrg
U+3607	㘇	3-5446	rffd
U+3608	㘈	4-5573	rpko
U+3609	㘉	4-4F6D	rhal
U+360A	㘊	5-6140	rmbr
U+360B	㘋	4-5A70	rsec
U+360C	㘌	3-5756	ryon
U+360D	㘍	5-6145	rfgi
U+360E	㘎	14-6B3E	rlsk
U+360F	㘏	14-6B3F	yurp
U+3610	㘐	4-5F4C	rsfk
U+3611	㘑	5-6759	rgfe
U+3612	㘒	14-6C2D	hgrp
U+3613	㘓	5-6B73	ranw
U+3614	㘔	3-5C35	rjtc
U+3615	㘕	3-5E27	rtst
U+3616	㘖	4-6632	ryhc
U+3617	㘗	14-6D31	rbug
U+3618	㘘	14-6D49	vfr
U+3619	㘙	3-602E	rrrk
U+361A	㘚	3-602D	rank
U+361B	㘛	4-6C6C	rorp
U+361C	㘜	7-622F	ogr
U+361D	㘝	3-2232	we
U+361E	㘞	3-2221	wks
U+361F	㘟	3-233D	wt
U+3620	㘠	5-2553	wph
U+3621	㘡	3-277E	wwl
U+3622	㘢	3-2B64	wfmu
U+3623	㘣	3-3026	wrb
U+3624	㘤	4-4258	well
U+3625	㘥	4-6332	wbuf
U+3626	㘦	3-2233	gks
U+3627	㘧	3-252E	gnin
U+3628	㘨	4-235F	gob
U+3629	㘩	3-2539	gpp
U+362A	㘪	3-253A	ghqu
U+362B	㘫	4-235E	gtt
U+362C	㘬	3-253D	gpi
U+362D	㘭	3-253F	gvis
U+362E	㘮	14-4F31	gso
U+362F	㘯	3-253B	goks
U+3630	㘰	3-2534	gyj
U+3631	㘱	3-2827	ggb
U+3632	㘲	4-256D	gskn
U+3633	㘳	3-282B	lpg
U+3634	㘴	3-282C	rog
U+3635	㘵	14-514E	gklb
U+3636	㘶	3-2B76	nqg
U+3637	㘷	6-2F65	gtk
U+3638	㘸	3-2B74	mpg
U+3639	㘹	3-2B75	ypg
U+363A	㘺	3-2B73	goi
U+363B	㘻	3-2B6F	gwk
U+363C	㘼	14-5449	gjks
U+363D	㘽	14-544A	jig
U+363E	㘾	14-544B	gjmd
U+363F	㘿	3-3029	gag
U+3640	㙀	4-2C2F	gjcn
U+3641	㙁	4-2C31	gowy
U+3642	㙂	3-302D	gcru
U+3643	㙃	3-302C	ghmc
U+3644	㙄	3-302E	gppg
U+3645	㙅	3-3031	grd
U+3646	㙆	14-5832	gjki
U+3647	㙇	3-346C	gmso
U+3648	㙈	3-346D	gypu
U+3649	㙉	3-3473	gtbc
U+364A	㙊	3-346A	gsmv
U+364B	㙋	15-3357	gtmc
U+364C	㙌	14-5B6B	glll
U+364D	㙍	4-3121	geee
U+364E	㙎	4-366B	gihv
U+364F	㙏	3-3A46	goae
U+3650	㙐	4-366E	gumb
U+3651	㙑	3-3A51	hbg
U+3652	㙒	6-474E	wng
U+3653	㙓	3-3A48	gggg
U+3654	㙔	14-5F33	gdmq
U+3655	㙕	3-3A4D	gwb
U+3656	㙖	14-5F34	ghlb
U+3657	㙗	14-5F35	gwmv
U+3658	㙘	14-5F36	gmwv
U+3659	㙙	4-3C59	ehg
U+365A	㙚	4-3C5B	gtgq
U+365B	㙛	3-4053	gibi
U+365C	㙜	3-4055	yrbg
U+365D	㙝	4-3C56	gksb
U+365E	㙞	4-3C58	ghud
U+365F	㙟	14-6251	giib
U+3660	㙠	4-425E	seg
U+3661	㙡	4-425D	ghoo
U+3662	㙢	4-425B	gtlb
U+3663	㙣	3-463B	gnsv
U+3664	㙤	4-425F	gypd
U+3665	㙥	3-4639	gycv
U+3666	㙦	14-6530	ojg
U+3667	㙧	7-216A	gmls
U+3668	㙨	3-4B52	gvio
U+3669	㙩	3-4B48	gkcf
U+366A	㙪	4-4933	ggbt
U+366B	㙫	3-4B4A	gogd
U+366C	㙬	3-4B4E	dkg
U+366D	㙭	15-4E25	gmto
U+366E	㙮	15-4E2E	ghor
U+366F	㙯	4-492A	gimmi
U+3670	㙰	3-5044	nqg
U+3671	㙱	4-4F78	rug
U+3672	㙲	3-5047	gyvg
U+3673	㙳	3-5042	girp
U+3674	㙴	3-5043	gncr
U+3675	㙵	3-5046	gyrg
U+3676	㙶	3-5045	yrfg
U+3677	㙷	4-557C	gavf
U+3678	㙸	3-544D	goto
U+3679	㙹	3-544A	gtwn
U+367A	㙺	4-557B	gslc
U+367B	㙻	7-3F30	giwg
U+367C	㙼	3-575D	gwww
U+367D	㙽	14-6B44	gkma
U+367E	㙾	7-4644	ghbd
U+367F	㙿	14-6C2E	gtgs
U+3680	㚀	5-6B76	gyti
U+3681	㚁	3-6072	guggu
U+3682	㚂	4-6C6E	gjbv
U+3683	㚃	5-373C	gbut
U+3684	㚄	3-4D41	gbwo
U+3685	㚅	3-2B78	hemhm
U+3686	㚆	14-5426	yahe
U+3687	㚇	4-2861	uche
U+3688	㚈	14-4C72	nij
U+3689	㚉	5-2558	nsnin
U+368A	㚊	4-3677	nnyvo
U+368B	㚋	4-4260	nnbgr
U+368C	㚌	3-4647	nnwd
U+368D	㚍	4-5A7A	nnlmc
U+368E	㚎	3-223A	ku
U+368F	㚏	3-2346	kt
U+3690	㚐	3-2348	kk
U+3691	㚑	14-4D74	smk
U+3692	㚒	4-2365	koo
U+3693	㚓	3-254A	kd
U+3694	㚔	4-2571	ktj
U+3695	㚕	5-2559	klln
U+3696	㚖	4-2577	hak
U+3697	㚗	4-2573	kbm
U+3698	㚘	4-2578	qoqo
U+3699	㚙	14-5154	krk
U+369A	㚚	3-2B7D	knir
U+369B	㚛	14-5452	kpa
U+369C	㚜	4-3125	kirm
U+369D	㚝	6-3E42	kogg
U+369E	㚞	3-347A	kdd
U+369F	㚟	3-3A55	nrppk
U+36A0	㚠	4-3C5C	ktgf
U+36A1	㚡	3-503E	krkmr
U+36A2	㚢	3-2174	ov
U+36A3	㚣	3-234C	vv
U+36A4	㚤	3-234A	vip
U+36A5	㚥	4-2256	vmd
U+36A6	㚦	4-2259	vml
U+36A7	㚧	4-2255	vi
U+36A8	㚨	3-2349	vnj
U+36A9	㚩	3-2552	vbmm
U+36AA	㚪	3-2557	vhqu
U+36AB	㚫	3-2550	vnhe
U+36AC	㚬	3-254F	vpmm
U+36AD	㚭	3-254D	viku
U+36AE	㚮	3-2554	vbhn
U+36AF	㚯	14-4F39	vhnk
U+36B0	㚰	3-2831	vmfm
U+36B1	㚱	3-283B	vhlm
U+36B2	㚲	4-257B	vyr
U+36B3	㚳	3-2842	vksr
U+36B4	㚴	3-2832	vklb
U+36B5	㚵	3-283A	vhey
U+36B6	㚶	3-2843	vrlr
U+36B7	㚷	3-2847	vof
U+36B8	㚸	3-2834	vsmr
U+36B9	㚹	4-2621	vhll
U+36BA	㚺	3-2844	vnsd
